Player Name,Position,Nationality,Date Of Birth,Height(cm),Weight(kg)
Joelinton,Forward,Brazil,1996-08-14,186.0,81.0
Allan Saint-Maximin,Forward,France,1997-12-03,173.0,67.0
Dwight Gayle,Forward,England,1989-10-17,174.0,78.0
Callum Wilson,Forward,England,1992-02-27,180.0,66.0
Joseph Willock,Midfielder,England,1999-08-20,179.0,71.0
Kieran Trippier,Defender,England,1990-09-19,178.0,71.0
Chris Wood,Forward,New,1991-07-12,191.0,81.0
Bruno Guimarães,Midfielder,Brazil,1997-11-16,182.0,74.0
Matt Targett,Defender,England,1995-09-18,183.0,70.0
Dan Burn,Defender,England,1992-09-05,198.0,87.0
Lucas De Bolle,Midfielder,Scotland,2002-10-22,,
Tim Krul,Goalkeeper,Netherlands,1988-03-04,188.0,84.0
Michael McGovern,Goalkeeper,Northern,1984-12-07,191.0,89.0
Max Aarons,Defender,England,2000-04-01,178.0,69.0
Sam Byram,Defender,England,1993-09-16,180.0,72.0
Grant Hanley,Defender,Scotland,1991-11-20,187.0,81.0
Christoph Zimmermann,Defender,Germany,1993-12-01,194.0,92.0
Andrew Omobamidele,Defender,Ireland,2002-06-23,188.0,
Lukas Rupp,Midfielder,Germany,1991-08-01,178.0,73.0
Kieran Dowell,Midfielder,England,1997-10-10,175.0,70.0
Przemyslaw Placheta,Midfielder,Poland,1998-03-23,177.0,72.0
Jacob Sørensen,Midfielder,Denmark,1998-03-03,,
Kenny McLean,Midfielder,Scotland,1992-08-01,183.0,70.0
Teemu Pukki,Forward,Finland,1990-03-29,180.0,75.0
Adam Idah,Forward,Ireland,2001-11-02,190.0,83.0
Milot Rashica,Midfielder,Kosovo,1996-06-28,177.0,73.0
Angus Gunn,Goalkeeper,England,1996-01-22,196.0,77.0
Ben Gibson,Defender,England,1993-01-15,185.0,78.0
Dimitris Giannoulis,Defender,Greece,1995-10-17,175.0,62.0
Billy Gilmour,Midfielder,Scotland,2001-11-06,166.0,60.0
Pierre Lees-Melou,Midfielder,France,1993-05-25,185.0,69.0
Joshua Sargent,Forward,United,2000-02-20,185.0,79.0
Christos Tzolis,Forward,Greece,2002-01-30,184.0,
Brandon Williams,Defender,England,2000-03-09,171.0,63.0
Mathias Normann,Midfielder,Norway,1996-05-28,179.0,75.0
Ozan Kabak,Defender,Turkey,2000-03-25,186.0,86.0
Jonathan Tomkinson,Defender,United,2002-11-04,,
Jonathan Rowe,Forward,England,2003-04-30,173.0,
Jon McCracken,Goalkeeper,Scotland,2000-05-24,,
Liam Gibbs,Midfielder,England,2002-12-16,,
Abu Kamara,Defender,England,1997-01-04,,
Tony Springett,Midfielder,England,2002-09-22,,
Alex McCarthy,Goalkeeper,England,1989-03-12,193.0,79.0
Harry Lewis,Goalkeeper,England,1997-12-20,191.0,77.0
Fraser Forster,Goalkeeper,England,1988-03-17,201.0,93.0
Kyle Walker-Peters,Defender,England,1997-04-13,173.0,62.0
Jack Stephens,Defender,England,1994-01-27,185.0,75.0
Mohammed Salisu,Defender,Ghana,1999-04-17,191.0,82.0
Jan Bednarek,Defender,Poland,1996-12-04,189.0,77.0
Oriol Romeu,Midfielder,Spain,1991-09-24,183.0,83.0
James Ward-Prowse,Midfielder,England,1994-01-11,173.0,66.0
Nathan Redmond,Midfielder,England,1994-06-03,173.0,69.0
Moussa Djenepo,Midfielder,Mali,1998-06-15,177.0,65.0
Stuart Armstrong,Midfielder,Scotland,1992-03-30,183.0,75.0
William Smallbone,Midfielder,Ireland,2000-02-21,,
Nathan Tella,Midfielder,England,1999-05-07,,
Ibrahima Diallo,Midfielder,France,1999-08-03,179.0,68.0
Che Adams,Forward,Scotland,1996-07-13,175.0,70.0
Yan Valery,Defender,France,1999-02-22,180.0,85.0
Mohamed Elyounoussi,Midfielder,Norway,1994-04-08,178.0,70.0
Shane Long,Forward,Ireland,1987-01-22,178.0,81.0
Theo Walcott,Forward,England,1989-03-16,176.0,68.0
Romain Perraud,Defender,France,1997-09-22,173.0,68.0
Valentino Livramento,Defender,England,2002-12-11,,
Armando Broja,Forward,Albania,2001-10-09,191.0,
Adam Armstrong,Forward,England,1997-10-02,172.0,69.0
Thierry Small,Defender,England,2004-01-08,,
Lyanco,Defender,Brazil,1997-01-02,187.0,85.0
Willy Caballero,Goalkeeper,Argentina,1981-09-28,186.0,81.0
Kgaogelo Chauke,Midfielder,England,2003-08-01,,
Kazeem Olaigbe,Forward,Belgium,2003-02-01,,
Hugo Lloris,Goalkeeper,France,1986-12-26,188.0,82.0
Matt Doherty,Defender,Ireland,1992-01-16,182.0,80.0
Sergio Reguilón,Defender,Spain,1996-12-16,178.0,68.0
Davinson Sánchez,Defender,Colombia,1996-12-06,187.0,81.0
Joe Rodon,Defender,Wales,1997-10-22,180.0,70.0
Japhet Tanganga,Defender,England,1999-03-31,184.0,76.0
Ben Davies,Defender,Wales,1993-04-24,181.0,76.0
Pierre-Emile Højbjerg,Midfielder,Denmark,1995-05-08,187.0,84.0
Harry Winks,Midfielder,England,1996-02-02,178.0,65.0
Eric Dier,Defender,England,1994-01-15,188.0,88.0
Son Heung-Min,Forward,South,1992-08-07,183.0,78.0
Harry Kane,Forward,England,1993-07-28,188.0,86.0
Steven Bergwijn,Forward,Netherlands,1997-08-10,178.0,78.0
Lucas Moura,Forward,Brazil,1992-08-13,172.0,72.0
Ryan Sessegnon,Midfielder,England,2000-05-18,178.0,70.0
Oliver Skipp,Midfielder,England,2000-09-16,175.0,70.0
Pierluigi Gollini,Goalkeeper,Italy,1995-03-18,194.0,94.0
Cristian Romero,Defender,Argentina,1998-04-27,185.0,79.0
Dane Scarlett,Forward,England,2004-03-24,180.0,76.0
Brandon Austin,Goalkeeper,England,1999-07-01,188.0,82.0
Maksim Paskotsi,Defender,Estonia,2003-01-19,,
Kallum Cesay,Defender,England,2002-04-09,,
Brooklyn Lyons-Foster,Defender,England,2000-01-12,,
Harvey White,Midfielder,England,2001-09-19,,
Matthew Craig,Midfielder,Scotland,2003-04-16,,
Romaine Mundle,Midfielder,England,2003-04-24,,
Emerson Royal,Defender,Brazil,1999-01-14,181.0,79.0
Tobi Omole,Defender,England,1999-12-17,,
Malachi Fagan-Walcott,Defender,England,2002-11-03,,
Michael Craig,Midfielder,Scotland,2003-04-16,,
J'Neil Bennett,Forward,England,2001-07-12,,
Rodrigo Bentancur,Midfielder,Uruguay,1997-06-25,187.0,72.0
Dejan Kulusevski,Midfielder,Sweden,2000-04-25,186.0,80.0
Alfie Devine,Midfielder,England,2004-01-08,179.0,75.0
Jamie Bowden,Midfielder,Ireland,2001-09-07,,
Ben Foster,Goalkeeper,England,1983-03-04,193.0,79.0
Daniel Bachmann,Goalkeeper,Austria,1994-09-07,191.0,81.0
Robert Elliot,Goalkeeper,Ireland,1986-04-30,190.0,94.0
Jeremy Ngakia,Defender,England,2000-07-09,,
William Troost-Ekong,Defender,Nigeria,1993-01-09,191.0,82.0
Adam Masina,Defender,Morocco,1994-02-01,189.0,78.0
Craig Cathcart,Defender,Northern,1989-06-02,188.0,73.0
Kiko Femenía,Defender,Spain,1991-02-02,176.0,61.0
Christian Kabasele,Defender,Belgium,1991-02-24,187.0,84.0
Francisco Sierralta,Defender,Chile,1997-06-05,190.0,83.0
Tom Cleverley,Midfielder,England,1989-12-08,175.0,67.0
Ken Sema,Midfielder,Sweden,1993-09-30,180.0,69.0
Dan Gosling,Midfielder,England,1990-01-02,183.0,79.0
Daniel Phillips,Midfielder,England,1990-01-02,183.0,79.0
João Pedro,Forward,Brazil,2001-09-26,182.0,70.0
Ismaïla Sarr,Forward,Senegal,1998-02-25,185.0,76.0
Imrân Louza,Midfielder,Morocco,1999-01-05,178.0,65.0
Emmanuel Dennis,Forward,Nigeria,1997-11-15,175.0,67.0
Ignacio Pussetto,Midfielder,Argentina,1995-12-21,180.0,74.0
Danny Rose,Defender,England,1990-02-07,173.0,72.0
Peter Etebo,Midfielder,Nigeria,1995-09-11,172.0,70.0
Joshua King,Forward,Norway,1992-01-15,180.0,74.0
Kwadwo Baah,Midfielder,Germany,2003-01-27,,
Cucho Hernández,Forward,Colombia,1999-04-20,176.0,73.0
Juraj Kucka,Midfielder,Slovakia,1987-02-26,186.0,86.0
Moussa Sissoko,Midfielder,France,1989-08-16,187.0,83.0
James Morris,Defender,England,2001-11-23,,
Nicolas Nkoulou,Defender,Cameroon,1990-03-27,184.0,77.0
Vincent Angelini,Goalkeeper,Scotland,2003-12-09,186.0,
Hassane Kamara,Defender,Cote,1994-05-03,168.0,67.0
Samir,Defender,Brazil,1994-05-12,189.0,73.0
Edo Kayembe,Midfielder,DR,1998-03-06,183.0,77.0
Derek Agyakwa,Defender,Netherlands,2001-12-19,,
Shaqai Forde,Midfielder,England,2004-05-05,,
Samuel Kalu,Forward,Nigeria,1997-08-26,176.0,74.0
Lukasz Fabianski,Goalkeeper,Poland,1985-04-18,190.0,83.0
David Martin,Goalkeeper,England,1986-01-22,185.0,85.0
Darren Randolph,Goalkeeper,Ireland,1987-12-05,188.0,98.0
Aaron Cresswell,Defender,England,1989-12-15,170.0,66.0
Vladimir Coufal,Defender,Czech,1992-08-22,179.0,76.0
Angelo Ogbonna,Defender,Italy,1988-05-23,191.0,86.0
Issa Diop,Defender,France,1997-09-01,194.0,92.0
Ryan Fredericks,Defender,England,1992-10-10,181.0,74.0
Arthur Masuaku,Defender,DR,1993-07-11,179.0,70.0
Manuel Lanzini,Midfielder,Argentina,1993-02-15,167.0,59.0
Mark Noble,Midfielder,England,1987-08-05,180.0,70.0
Pablo Fornals,Midfielder,Spain,1996-02-22,178.0,67.0
Tomas Soucek,Midfielder,Czech,1995-02-27,192.0,86.0
Declan Rice,Midfielder,England,1999-01-14,185.0,76.0
Andriy Yarmolenko,Forward,Ukraine,1989-10-23,189.0,81.0
Saïd Benrahma,Forward,Algeria,1995-10-08,172.0,67.0
Jarrod Bowen,Forward,England,1996-12-20,175.0,70.0
Michail Antonio,Forward,Jamaica,1990-03-28,180.0,82.0
Craig Dawson,Defender,England,1990-06-05,188.0,82.0
Alphonse Areola,Goalkeeper,France,1993-02-27,195.0,94.0
Jamal Baptiste,Defender,England,2003-11-11,,
Kurt Zouma,Defender,France,1994-10-27,190.0,96.0
Nikola Vlasic,Midfielder,Croatia,1997-04-10,178.0,72.0
Alex Král,Midfielder,Czech,1998-05-19,185.0,72.0
Ajibola Alese,Defender,England,2001-01-17,,
Ben Johnson,Defender,England,2000-01-24,175.0,67.0
Harrison Ashby,Defender,Scotland,2001-11-14,,
Daniel Chesters,Midfielder,England,2002-04-04,,
Sonny Perkins,Midfielder,England,2004-10-02,,
Keenan Appiah-Forson,Midfielder,England,2001-10-16,,
Freddie Potts,Midfielder,England,2003-12-09,,
Emmanuel Longelo,Forward,England,2000-12-27,,
Kamarai Simon-Swyer,Forward,England,2002-04-12,,
Armstrong Oko-Flex,Forward,Ireland,2002-02-03,,
Pierre Ekwah,Defender,France,2002-01-15,,
John Ruddy,Goalkeeper,England,1986-10-24,193.0,97.0
Ki-Jana Hoever,Defender,Netherlands,2002-01-18,180.0,65.0
Marçal,Defender,Brazil,1989-02-19,178.0,74.0
Willy Boly,Defender,Cote,1991-03-02,195.0,92.0
Conor Coady,Defender,England,1993-02-25,185.0,73.0
Jonny,Defender,Spain,1994-03-03,175.0,70.0
Nélson Semedo,Defender,Portugal,1993-11-16,177.0,67.0
Maximilian Kilman,Defender,England,1997-05-23,,
Rúben Neves,Midfielder,Portugal,1997-03-13,180.0,80.0
Daniel Podence,Midfielder,Portugal,1995-10-21,165.0,58.0
Romain Saïss,Midfielder,Morocco,1990-03-26,190.0,80.0
João Moutinho,Midfielder,Portugal,1986-08-09,170.0,61.0
Leander Dendoncker,Midfielder,Belgium,1995-04-15,188.0,83.0
Pedro Neto,Forward,Portugal,2000-09-03,172.0,69.0
Raúl Jiménez,Forward,Mexico,1991-05-05,190.0,76.0
Fábio Silva,Forward,Portugal,2002-07-19,185.0,75.0
Yerson Mosquera,Defender,Colombia,2001-02-05,187.0,76.0
Trincão,Forward,Portugal,1999-12-29,184.0,70.0
Rayan Aït-Nouri,Defender,France,2001-06-06,179.0,70.0
José Sá,Goalkeeper,Portugal,1993-01-17,192.0,84.0
Luke Cundle,Midfielder,England,2002-04-26,,
Chem Campbell,Forward,Wales,2002-12-30,,
Hwang Hee-Chan,Forward,South,1996-01-26,177.0,77.0
James Storer,Goalkeeper,England,1982-02-16,,
Hugo Bueno,Defender,Spain,2002-09-18,180.0,73.0
Dexter Lembikisa,Defender,England,2003-04-11,,
Toti,Defender,Portugal,1999-01-16,187.0,72.0
Chiquinho,Forward,Portugal,2000-05-02,179.0,73.0
Matija Sarkic,Goalkeeper,Montenegro,1997-07-23,195.0,
Matt Macey,Goalkeeper,England,1994-09-09,205.0,
Héctor Bellerín,Defender,Spain,1995-03-19,178.0,
William Saliba,Defender,France,2001-03-24,192.0,
Sokratis Papastathopoulos,Defender,Greece,1988-09-06,186.0,
Shkodran Mustafi,Defender,Germany,1992-04-17,184.0,
David Luiz,Defender,Brazil,1987-04-22,189.0,
Sead Kolasinac,Defender,Bosnia,1993-06-20,183.0,
Mesut Özil,Midfielder,Germany,1988-10-15,180.0,
Lucas Torreira,Midfielder,Uruguay,1996-11-02,168.0,
Ainsley Maitland-Niles,Midfielder,England,1997-08-29,177.0,
Mattéo Guendouzi,Midfielder,France,1999-04-14,185.0,
Pierre-Emerick Aubameyang,Forward,Gabon,1989-06-18,187.0,
Reiss Nelson,Forward,England,1999-10-12,175.0,
Dani Ceballos,Midfielder,Spain,1996-07-08,179.0,
Robbie Burton,Midfielder,Wales,1999-12-26,176.0,
Matthew Smith,Defender,England,2000-05-10,,
Zech Medley,Defender,England,2000-09-07,195.0,
Willian,Forward,Brazil,1988-09-08,175.0,
Danny Ballard,Defender,Northern,1999-09-22,187.0,
Mark McGuinness,Defender,Ireland,2001-05-01,194.0,
Ben Cottrell,Midfielder,England,2001-10-31,,
Tolaji Bola,Defender,England,1999-04-01,188.0,
James Olayinka,Midfielder,England,2000-05-10,,
George Lewis,Forward,Rwanda,2000-06-16,,
Tyreece John-Jules,Forward,England,2001-02-14,183.0,
Henrikh Mkhitaryan,Midfielder,Armenia,1989-01-21,177.0,
Rúnar Rúnarsson,Goalkeeper,Iceland,1995-02-18,186.0,
Pablo Marí,Defender,Spain,1993-08-31,193.0,
Karl Hein,Goalkeeper,Estonia,2002-04-13,193.0,
Folarin Balogun,Forward,England,2001-03-07,178.0,
Mathew Ryan,Goalkeeper,Australia,1992-08-04,184.0,
Joel Lopez Salguero,Defender,Spain,2002-03-31,,
James Hillson,Goalkeeper,England,2001-01-14,,
Jed Steer,Goalkeeper,England,1992-09-23,183.0,
Ørjan Nyland,Goalkeeper,Norway,1990-10-09,192.0,
Lovre Kalinic,Goalkeeper,Croatia,1990-03-04,201.0,
Neil Taylor,Defender,Wales,1989-07-02,176.0,
Björn Engels,Defender,Belgium,1994-09-15,193.0,
Frédéric Guilbert,Defender,France,1994-12-24,178.0,
Ahmed El Mohamady,Defender,Egypt,1987-09-09,183.0,
Henri Lansbury,Midfielder,England,1990-12-10,183.0,
Conor Hourihane,Midfielder,Ireland,1991-02-02,180.0,
Trézéguet,Midfielder,Egypt,1994-01-10,180.0,
Jota,Midfielder,Spain,1991-06-16,180.0,
Wesley Moraes,Forward,Brazil,1996-11-26,191.0,
Mbwana Samatta,Forward,Tanzania,1992-12-23,183.0,
Indiana Vassilev,Forward,United,2001-02-16,173.0,
Keinan Davis,Forward,England,1998-02-13,191.0,
Danny Drinkwater,Midfielder,England,1990-05-03,178.0,
Pepe Reina,Goalkeeper,Spain,1982-08-31,188.0,
Cameron Archer,Forward,England,2001-09-12,,
Akos Onodi,Goalkeeper,Hungary,2001-02-09,,
Oliwier Zych,Goalkeeper,Poland,2004-06-28,,
Dominic Revan,Defender,England,2000-09-19,,
Jake Walker,Defender,England,2000-03-11,,
Frankie Ealing,Defender,England,2004-07-14,,
Callum Rowe,Midfielder,England,1999-02-09,,
Harrison Sohna,Midfielder,England,2002-01-07,,
Kaine Hayden,Midfielder,England,2003-05-25,,
Arjan Raikhy,Midfielder,England,2002-10-20,,
Brad Young,Midfielder,England,2003-06-01,,
Mamadou Dialla Sylla,Midfielder,Spain,2003-01-26,179.0,
Edward Rowe,Midfielder,England,2003-10-17,,
Taylor Jay-Hart,Midfielder,England,2003-12-18,179.0,
Mungo Bridge,Forward,England,2000-12-09,,
Michael Tait,Forward,England,2001-01-29,,
Louie Barry,Forward,England,2003-06-21,,
Kaine Hayden,Midfielder,England,2002-10-23,,
Jaden Philogene-Bidace,Midfielder,England,2002-08-02,,
David Button,Goalkeeper,England,1989-02-27,191.0,
Martín Montoya,Defender,Spain,1991-04-14,175.0,
Bernardo,Defender,Brazil,1995-05-14,186.0,
Aaron Mooy,Midfielder,Australia,1990-09-15,174.0,
Davy Pröpper,Midfielder,Netherlands,1991-02-09,185.0,
Alireza Jahanbakhsh,Forward,Iran,1993-11-08,180.0,
Glenn Murray,Forward,England,1983-09-25,183.0,
José Izquierdo,Forward,Colombia,1992-07-07,171.0,
Aaron Connolly,Forward,Ireland,2000-01-28,,
Ryan Longman,Midfielder,England,2000-06-11,180.0,
Romaric Yapi,Defender,France,2000-07-13,178.0,
Peter Gwargis,Midfielder,Sweden,2000-04-09,,
Max Sanders,Midfielder,England,1999-04-01,175.0,
Jack Spong,Midfielder,England,2002-04-02,,
Taylor Richards,Midfielder,England,2000-04-12,180.0,
Beram Kayal,Midfielder,Israel,1988-02-05,178.0,
Alex Cochrane,Defender,England,2000-04-21,,
Teddy Jenks,Midfielder,England,2002-12-03,191.0,
Ezequiel Schelotto,Defender,Argentina,1989-05-23,187.0,
Jayson Molumby,Midfielder,Ireland,1999-06-08,,
Christian Walton,Goalkeeper,England,1995-09-11,182.0,
Viktor Gyökeres,Forward,Sweden,1998-04-06,187.0,
Jan Paul van Hecke,Defender,Netherlands,2000-08-06,,
Ulrick Eneme-Ella,Forward,Gabon,2001-05-22,184.0,
Andi Zeqiri,Forward,Switzerland,1999-06-22,181.0,
Michal Karbownik,Defender,Poland,2001-03-13,,
Percy Tau,Forward,South,1994-05-13,175.0,
Reda Khadra,Midfielder,Germany,2001-04-07,,
Jensen Weir,Midfielder,England,2002-01-31,184.0,
Florin Andone,Forward,Romania,1993-11-04,180.0,
Warren O'Hora,Defender,Ireland,1999-04-19,,
Bailey Peacock-Farrell,Goalkeeper,Northern,1996-10-29,193.0,
Robbie Brady,Midfielder,Ireland,1992-01-14,176.0,
Josh Benson,Midfielder,England,1999-05-12,175.0,
Joel Mumbongo,Forward,Sweden,1999-09-01,188.0,
Ali Koiki,Defender,England,1999-08-22,,
Mace Goodridge,Midfielder,England,1999-09-13,180.0,
Anthony Driscoll-Glennon,Defender,England,1999-11-26,181.0,
Lukas Jensen,Goalkeeper,Denmark,1999-03-18,198.0,
Max Thompson,Forward,England,2002-09-02,,
Jimmy Dunne,Defender,Ireland,1997-10-19,183.0,
Anthony Mancini,Midfielder,France,2001-06-04,180.0,
Richard Nartey,Defender,England,1998-06-09,184.0,
Jamie Cumming,Goalkeeper,England,1999-04-09,186.0,
Fikayo Tomori,Defender,England,1997-12-19,185.0,
Emerson,Defender,Italy,1994-03-08,176.0,
Tammy Abraham,Forward,England,1997-02-10,190.0,
Pedro,Forward,Spain,1987-07-28,169.0,
Olivier Giroud,Forward,France,1986-09-30,192.0,
Michy Batshuayi,Forward,Belgium,1993-02-10,184.0,
Ian Maatsen,Defender,Netherlands,2002-10-03,167.0,
Faustino Anjorin,Midfielder,England,2001-11-23,185.0,
Henry Lawrence,Defender,England,2001-09-21,,
Dynel Simeu,Defender,England,2002-03-13,186.0,
Nathan Baxter,Goalkeeper,England,1998-08-11,191.0,
Juan Familia-Castillo,Defender,Netherlands,2000-01-13,,
Ethan Ampadu,Defender,Wales,2000-09-14,183.0,
Luke McCormick,Midfielder,England,1999-01-21,,
Lewis Baker,Midfielder,England,1995-04-25,182.0,
Mario Pasalic,Midfielder,Croatia,1995-09-02,188.0,
George McEachran,Midfielder,England,2000-08-30,172.0,
Marco van Ginkel,Midfielder,Netherlands,1992-01-12,180.0,
Karlo Ziger,Goalkeeper,Croatia,2001-11-05,,
Victor Moses,Defender,Nigeria,1990-12-12,177.0,
Tiemoué Bakayoko,Midfielder,France,1994-08-17,185.0,
Davide Zappacosta,Defender,Italy,1992-11-06,185.0,
Patrick van Aanholt,Defender,Netherlands,1990-08-29,176.0,
Scott Dann,Defender,England,1987-02-14,188.0,
Mamadou Sakho,Defender,France,1990-02-13,187.0,
Gary Cahill,Defender,England,1985-12-19,193.0,
Max Meyer,Midfielder,Germany,1995-09-18,173.0,
James McCarthy,Midfielder,Germany,1995-09-18,173.0,
Stephen Henderson,Goalkeeper,Ireland,1988-02-05,193.0,
John-Kymani Gordon,Forward,England,2003-02-13,,
Nikola Tavares,Defender,Croatia,1999-01-17,,
Nya Kirby,Midfielder,England,2000-01-31,174.0,
Brandon Pierrick,Forward,England,2001-10-12,182.0,
Sam Woods,Defender,England,1998-11-09,,
Jaroslaw Jach,Defender,Poland,1994-02-17,192.0,
Ryan Inniss,Defender,England,1995-05-06,196.0,
Connor Wickham,Forward,England,1993-03-31,191.0,
João Virgínia,Goalkeeper,Portugal,1999-10-10,198.0,
Gylfi Sigurdsson,Midfielder,Iceland,1989-08-09,186.0,
Jean-Philippe Gbamin,Midfielder,Cote,1995-09-25,186.0,
Beni Baningime,Midfielder,DR,1998-09-09,178.0,
Bernard,Forward,Brazil,1992-08-09,164.0,
Moise Kean,Forward,Italy,2000-02-28,183.0,
Djibril Sidibé,Defender,France,1992-07-29,182.0,
Maarten Stekelenburg,Goalkeeper,Netherlands,1982-09-22,197.0,
Dennis Adeniran,Midfielder,England,1999-02-01,180.0,
Ellis Simms,Forward,England,2001-05-01,,
Leighton Baines,Defender,England,1984-11-12,170.0,
James Rodríguez,Midfielder,Colombia,1991-12-07,180.0,
Niels Nkounkou,Defender,France,2000-01-11,180.0,
Muhamed Besic,Midfielder,Bosnia,1992-10-09,180.0,
Yannick Bolasie,Forward,DR,1989-05-24,188.0,
Sandro Ramírez,Forward,Spain,1995-09-07,175.0,
Kyle John,Defender,England,2001-02-13,,
Nathan Broadhead,Forward,Wales,1998-05-04,178.0,
Zan-Luk Leban,Goalkeeper,Slovenia,2002-12-15,,
Marek Rodák,Goalkeeper,Slovakia,1996-12-13,194.0,
Jordan Archer,Goalkeeper,Scotland,1993-12-04,186.0,
Fabri,Goalkeeper,Spain,1987-12-31,184.0,
Michael Hector,Defender,Jamaica,1992-07-19,193.0,
Denis Odoi,Defender,Ghana,1988-05-27,178.0,
Alfie Mawson,Defender,England,1994-01-19,189.0,
Tim Ream,Defender,United,1987-05-10,186.0,
Maxime Le Marchand,Defender,France,1989-11-10,185.0,
Cyrus Christie,Defender,Ireland,1992-09-30,188.0,
Joe Bryan,Defender,England,1993-09-17,173.0,
Steven Sessegnon,Defender,England,2000-05-18,175.0,
Jean Michaël Seri,Midfielder,Cote,1991-07-19,168.0,
Kevin McDonald,Midfielder,Scotland,1988-04-11,192.0,
Neeskens Kebano,Midfielder,DR,1992-10-03,170.0,
Stefan Johansen,Midfielder,Norway,1991-08-01,182.0,
Tom Cairney,Midfielder,Scotland,1991-01-20,186.0,
Anthony Knockaert,Midfielder,France,1991-11-20,172.0,
Josh Onomah,Midfielder,England,1997-04-27,185.0,
André-Frank Zambo Anguissa,Midfielder,Cameroon,1995-11-16,184.0,
Luca de la Torre,Midfielder,United,1998-05-23,177.0,
Aleksandar Mitrovic,Forward,Serbia,1994-09-16,189.0,
Bobby De Cordova-Reid,Forward,Jamaica,1993-02-02,170.0,
Ivan Cavaleiro,Forward,Portugal,1993-10-18,175.0,
Aboubakar Kamara,Forward,Mauritania,1995-07-03,177.0,
Harry Arter,Midfielder,Ireland,1989-12-28,176.0,
Harrison Reed,Midfielder,England,1995-01-27,181.0,
Jayden Harris,Midfielder,England,1999-04-09,,
Jay Stansfield,Forward,England,2002-11-24,,
Matt O'Riley,Midfielder,Denmark,2000-11-21,,
Tyrese Francois,Midfielder,Australia,2000-07-16,166.0,
Benjamin Davis,Midfielder,Thailand,2000-11-24,175.0,
Sylvester Jasper,Forward,Bulgaria,2001-09-13,,
Luca Ashby-Hammond,Goalkeeper,England,2001-03-25,,
Jerome Opoku,Defender,England,1998-10-14,194.0,
Martell Taylor-Crossdale,Forward,England,1999-12-26,,
Magnus Norman,Goalkeeper,England,1997-01-19,192.0,
Antonee Robinson,Defender,United,1997-08-08,183.0,
Mario Lemina,Midfielder,Gabon,1993-01-09,184.0,
Kenny Tete,Defender,Netherlands,1995-09-10,180.0,
Ola Aina,Defender,Nigeria,1996-08-10,184.0,
Fabio Carvalho,Midfielder,Portugal,2002-08-30,,
Tosin Adarabioyo,Defender,England,1997-09-24,196.0,
Terence Kongolo,Defender,Netherlands,1994-02-14,188.0,
Josh Maja,Forward,Nigeria,1998-12-27,180.0,
Kiko Casilla,Goalkeeper,Spain,1986-02-10,190.0,
Kamil Miazek,Goalkeeper,Poland,1996-08-15,192.0,
Barry Douglas,Defender,Scotland,1989-04-09,176.0,
Gaetano Berardi,Defender,Switzerland,1988-08-21,179.0,
Robbie Gotts,Defender,England,1999-09-11,,
Ezgjan Alioski,Midfielder,North,1992-12-02,173.0,
Pablo Hernández,Midfielder,Spain,1985-11-04,173.0,
Jay-Roy Grot,Forward,Netherlands,1998-03-13,193.0,
Ian Poveda-Ocampo,Forward,England,2000-09-02,165.0,
Hélder Costa,Forward,Angola,1994-12-01,178.0,
Ryan Edmondson,Forward,England,2001-05-20,,
Jordan Stevens,Midfielder,England,2000-03-25,178.0,
Alfie McCalmont,Midfielder,Northern,2000-03-25,,
Conor Shaughnessy,Midfielder,Ireland,1996-06-30,191.0,
Oliver Casey,Defender,England,2000-10-14,188.0,
Bryce Hosannah,Defender,England,1999-08-04,,
Mateusz Bogusz,Midfielder,Poland,2001-08-22,175.0,
Elia Caprile,Goalkeeper,Italy,2001-08-25,,
Leif Davis,Defender,England,1999-12-31,166.0,
Niall Huggins,Forward,Wales,2000-12-18,,
Cody Drameh,Defender,England,2001-08-12,,
Wes Morgan,Defender,Jamaica,1984-01-21,186.0,
Filip Benkovic,Defender,Croatia,1997-07-13,194.0,
Christian Fuchs,Defender,Austria,1986-07-04,187.0,
Matty James,Midfielder,England,1991-07-22,181.0,
Dennis Praet,Midfielder,Belgium,1994-05-14,181.0,
Islam Slimani,Forward,Algeria,1988-06-18,188.0,
Ryan Bennett,Defender,England,1990-06-03,188.0,
George Hirst,Forward,England,1999-02-15,191.0,
Darnell Johnson,Defender,England,1998-03-09,,
George Thomas,Forward,Wales,1997-03-24,173.0,
Vontae Daley-Campbell,Defender,England,2001-02-04,,
Josh Knight,Defender,England,1997-07-09,185.0,
Sidnei Tavares,Midfielder,Portugal,2001-09-29,,
Thakgalo Leshabela,Midfielder,South,1999-09-18,175.0,
Admiral Muskwe,Forward,Zimbabwe,1998-08-21,183.0,
Josh Felix-Eppiah,Forward,Belgium,1998-11-10,179.0,
Jakub Stolarczyk,Goalkeeper,Poland,2000-12-19,,
Ethan Fitzhugh,Midfielder,England,2002-11-27,,
Wanya Madavidua,Midfielder,England,2002-10-19,,
Cengiz Ünder,Midfielder,Turkey,1997-07-14,173.0,
Shane Flynn,Midfielder,Ireland,2001-10-14,,
Rachid Ghezzal,Midfielder,Algeria,1992-09-05,182.0,
Adrien Silva,Midfielder,Portugal,1989-03-15,171.0,
Fousseni Diabaté,Forward,Mali,1995-10-18,175.0,
Tawanda Maswanhise,Midfielder,England,2002-11-20,,
Neco Williams,Defender,Wales,2001-04-13,183.0,
